Accuracy of  bird : 75 %
Accuracy of   cat : 65 %
Accuracy of  deer : 78 %
Accuracy of   dog : 73 %
Accuracy of  frog : 87 %
Accuracy of horse : 83 %
Accuracy of  ship : 88 %
Accuracy of truck : 87 %
Total Accuracy is : 81.500%
max_epoch : 299 max_acc : 0.818 learning_rate : 0.00001 decay : 0.00010
